IN>DT>NN,0
VBG>IN>DT,1
DT>NN>IN,2
NN>IN>DT,3
DT>JJ>NN,4
IN>DT>JJ,5
",>VBG>IN",6
"DT>NN>,",7
DT>NN>.,8
IN>PRP$>NN,9
IN>DT>NNS,10
JJ>NN>IN,11
"NN>,>CC",12
"JJ>NN>,",13
IN>PRP>VBD,14
NN>IN>NN,15
VBG>IN>PRP,16
VBG>IN>PRP$,17
NNS>IN>DT,18
VBD>DT>NN,19
DT>NN>VBD,20
",>PRP>VBD",21
JJ>NN>.,22
VBD>IN>DT,23
"NN>,>VBG",24
DT>NNS>IN,25
"IN>NN>,",26
IN>PRP$>NNS,27
IN>DT>NNP,28
NN>IN>PRP$,29
"NN>,>IN",30
VBN>IN>DT,31
IN>NN>IN,32
NN>IN>NNP,33
VBG>IN>NN,34
RB>IN>DT,35
PRP>VBD>IN,36
"PRP$>NN>,",37
PRP>VBD>RB,38
IN>JJ>NN,39
IN>NN>.,40
PRP>VBD>DT,41
",>IN>DT",42
"NN>,>PRP",43
"NN>,>VBD",44
PRP$>NN>IN,45
"IN>NNP>,",46
DT>JJ>NNS,47
VBG>IN>NNP,48
IN>PRP$>JJ,49
IN>NNP>NNP,50
VBD>DT>JJ,51
"JJ>NNS>,",52
PRP>MD>VB,53
"NN>,>DT",54
",>DT>NN",55
NN>IN>PRP,56
"NNS>,>CC",57
IN>JJ>NNS,58
PRP$>NN>.,59
",>CC>VBD",60
VB>DT>NN,61
PRP$>JJ>NN,62
JJ>NNS>IN,63
"NNP>,>VBG",64
"DT>NNS>,",65
TO>VB>DT,66
",>CC>IN",67
PRP>VBD>VBN,68
VBD>VBN>IN,69
DT>NN>CC,70
DT>NN>NN,71
",>CC>DT",72
VBD>TO>VB,73
"NNP>NNP>,",74
NN>TO>VB,75
IN>PRP>.,76
NN>CC>NN,77
JJ>IN>DT,78
VBG>IN>JJ,79
NN>IN>JJ,80
"IN>PRP>,",81
IN>NNP>.,82
TO>VB>IN,83
CC>DT>NN,84
NNP>IN>NNP,85
IN>PRP>MD,86
MD>RB>VB,87
NN>VBD>VBN,88
"NNS>,>VBG",89
VBD>PRP$>NN,90
NN>PRP>VBD,91
NNS>IN>NN,92
NN>IN>NNS,93
",>CC>RB",94
VBD>RB>IN,95
IN>IN>DT,96
JJ>TO>VB,97
NN>VBD>RB,98
"PRP$>NNS>,",99
"RB>,>VBG",100
JJ>NN>VBD,101
DT>NN>RB,102
JJ>NNS>.,103
",>CC>VBG",104
NN>HYPH>NN,105
PRP>IN>DT,106
NN>VBD>IN,107
VBD>RB>VBN,108
DT>NNS>VBD,109
VB>IN>DT,110
DT>NNS>.,111
"NNP>,>CC",112
TO>VB>PRP,113
NN>MD>VB,114
MD>VB>VBN,115
IN>NN>CC,116
PRP$>NN>VBD,117
CC>IN>DT,118
",>IN>PRP",119
DT>NNP>IN,120
VBG>IN>IN,121
",>VBD>DT",122
RB>JJ>IN,123
NN>VBD>DT,124
DT>NN>PRP,125
DT>NNP>NNP,126
VBD>RB>JJ,127
NNP>IN>DT,128
NNS>CC>NNS,129
RP>IN>DT,130
PRP$>NNS>.,131
"NN>,>NNP",132
DT>JJ>JJ,133
DT>NN>WDT,134
JJ>CC>JJ,135
IN>NNS>IN,136
NNP>NNP>.,137
VBD>RB>RB,138
RB>RB>IN,139
NN>WDT>VBD,140
",>DT>JJ",141
JJ>JJ>NN,142
PRP>VBD>JJ,143
VBD>PRP>IN,144
",>CC>PRP",145
VBD>IN>PRP,146
IN>CD>NNS,147
NNP>POS>NN,148
IN>NNP>VBD,149
DT>NN>HYPH,150
VBG>DT>NN,151
"NNS>,>IN",152
",>NNP>VBD",153
TO>VB>PRP$,154
"NN>NN>,",155
CD>NNS>IN,156
"NN>,>RB",157
VBG>IN>CD,158
MD>VB>DT,159
NNS>IN>NNP,160
CC>VBD>IN,161
"PRP>,>CC",162
NN>NN>IN,163
"NNS>,>VBD",164
RB>VBN>IN,165
IN>PRP>IN,166
PRP>MD>RB,167
"RB>,>CC",168
WDT>PRP>VBD,169
NN>CC>VBD,170
NN>IN>VBG,171
VB>PRP$>NN,172
",>CC>,",173
NN>POS>NN,174
NNP>VBD>IN,175
JJ>NN>CC,176
PRP$>NNS>IN,177
"NNS>,>DT",178
NNS>IN>PRP$,179
NN>DT>NN,180
VBD>RP>IN,181
"CC>,>VBG",182
"JJ>,>CC",183
"IN>NNS>,",184
VBD>JJ>IN,185
",>VBD>IN",186
NNP>NNP>VBD,187
PRP$>JJ>NNS,188
CC>DT>JJ,189
VB>VBN>IN,190
CD>IN>DT,191
WRB>PRP>VBD,192
VBN>TO>VB,193
NNP>CC>NNP,194
VB>DT>JJ,195
"DT>NNP>,",196
VBG>IN>NNS,197
NNS>VBD>VBN,198
CC>PRP>VBD,199
DT>NN>MD,200
IN>NNP>POS,201
MD>VB>IN,202
PRP>VBD>PRP,203
"NNP>,>IN",204
DT>NN>TO,205
IN>DT>VBG,206
NN>NN>.,207
PRP>VBD>TO,208
IN>PRP>VBP,209
VBD>DT>NNS,210
NN>IN>WDT,211
NN>IN>CD,212
"PRP>VBD>,",213
PRP$>NNS>VBD,214
IN>NNP>IN,215
PRP>RB>VBD,216
VBD>VBN>VBN,217
VBD>IN>NN,218
"NNS>,>PRP",219
DT>NNS>CC,220
PRP>TO>VB,221
IN>DT>NNPS,222
RB>JJ>NN,223
CC>VBD>DT,224
NNP>VBD>RB,225
",>VBD>RB",226
VBD>IN>PRP$,227
",>IN>PRP$",228
VBN>IN>NN,229
"JJ>,>VBG",230
CC>JJ>NN,231
NN>CC>DT,232
PRP>VBD>RP,233
"NN>,>WDT",234
DT>VBG>NN,235
"CC>NN>,",236
RB>DT>NN,237
NN>VBN>IN,238
TO>VB>VBN,239
VBN>DT>NN,240
RB>IN>PRP$,241
"POS>NN>,",242
RB>VBD>DT,243
NN>VBD>JJ,244
"VBD>VBN>,",245
",>IN>IN",246
RB>IN>PRP,247
RB>IN>NN,248
RB>TO>VB,249
",>VBN>IN",250
PRP>VBD>PRP$,251
"DT>JJ>,",252
IN>NN>VBD,253
PRP$>NN>CC,254
CC>VBD>RB,255
"RB>RB>,",256
IN>CD>IN,257
TO>VB>RB,258
VB>PRP>IN,259
VBD>RB>VB,260
NNP>VBD>VBN,261
NNP>NNP>NNP,262
NNS>TO>VB,263
IN>NNS>.,264
VBN>IN>PRP,265
NNP>VBD>DT,266
NNS>IN>PRP,267
IN>DT>IN,268
IN>WDT>PRP,269
IN>PDT>DT,270
"HYPH>NN>,",271
CC>JJ>NNS,272
JJ>JJ>NNS,273
NNS>IN>JJ,274
"CD>NNS>,",275
CC>NN>IN,276
IN>NNP>CC,277
TO>VB>.,278
DT>NN>POS,279
"RB>,>IN",280
",>WP>VBD",281
DT>NN>DT,282
",>DT>NNS",283
CC>VBG>IN,284
"VBN>,>CC",285
"NNP>,>DT",286
"VBD>RB>,",287
VBD>VBN>.,288
CC>VBD>PRP,289
"VBD>JJ>,",290
",>WDT>VBD",291
VBN>IN>PRP$,292
",>VBD>VBN",293
VBD>VBN>DT,294
VB>IN>PRP,295
JJ>NNS>VBD,296
NNS>VBD>RB,297
VBD>IN>NNP,298
"RB>JJ>,",299
JJ>NNS>CC,300
JJ>IN>PRP,301
PDT>DT>NN,302
DT>NNP>VBD,303
",>NNP>NNP",304
VBN>IN>NNP,305
VBG>IN>RB,306
DT>IN>DT,307
VBD>VBN>RB,308
NN>HYPH>NNS,309
",>IN>NN",310
",>RB>,",311
DT>NN>VBG,312
DT>CD>NNS,313
NNP>NNP>IN,314
",>CC>NNP",315
VBD>JJ>TO,316
"TO>VB>,",317
DT>JJ>NNP,318
IN>VBG>DT,319
DT>JJ>CC,320
IN>DT>CD,321
RB>VBD>IN,322
DT>NNP>.,323
MD>VB>PRP,324
VBN>VBN>IN,325
RB>DT>JJ,326
NNS>PRP>VBD,327
CC>NN>.,328
IN>IN>PRP,329
CC>RB>VBD,330
VBZ>DT>NN,331
",>DT>NNP",332
CD>CC>CD,333
DT>RB>JJ,334
",>CC>JJ",335
VBD>PRP$>NNS,336
IN>CD>NN,337
JJ>IN>NN,338
